x,h,j
1.41948452922239e-10,-3.35822721450285e-21,-2.01493632870171e-21
1.4232001047082484e-10,-3.3758308967359488e-21,-2.0254985380415694e-21
1.426925405908547e-10,-3.393526856712119e-21,-2.0361161140272716e-21
1.430660458280866e-10,-3.411315578147362e-21,-2.0467893468884174e-21
1.4344052873494066e-10,-3.429197547293223e-21,-2.0575185283759338e-21
1.4381599187051797e-10,-3.447173252950148e-21,-2.0683039517700892e-21
1.4419243780061997e-10,-3.465243186480943e-21,-2.079145911888566e-21
1.445698690977625e-10,-3.483407841824031e-21,-2.090044705094419e-21
1.449482883411951e-10,-3.501667715507039e-21,-2.1010006293042235e-21
1.4532769811692033e-10,-3.520023306660454e-21,-2.112013983996273e-21
1.4570810101770747e-10,-3.538475117031074e-21,-2.1230850702186443e-21
1.460894996431148e-10,-3.557023650995939e-21,-2.1342141905975637e-21
1.4647189659950336e-10,-3.575669415575934e-21,-2.1454016493455603e-21
1.4685529450005649e-10,-3.59441292044972e-21,-2.1566477522698323e-21
1.4723969596479936e-10,-3.613254677967759e-21,-2.1679528067806557e-21
1.4762510362061354e-10,-3.632195203166147e-21,-2.1793171218996884e-21
1.4801152010125648e-10,-3.6512350137807756e-21,-2.1907410082684653e-21
1.483989480473815e-10,-3.670374630261573e-21,-2.202224778156944e-21
1.4878739010655158e-10,-3.689614575786527e-21,-2.2137687454719164e-21
1.4917684893326217e-10,-3.70895537627622e-21,-2.2253732257657323e-21
1.4956732718895524e-10,-3.728397560407998e-21,-2.237038536244799e-21
1.4995882754203922e-10,-3.74794165963051e-21,-2.2487649957783064e-21
1.5035135266790906e-10,-3.767588208178327e-21,-2.2605529249069966e-21
1.5074490524896084e-10,-3.787337743086363e-21,-2.272402645851818e-21
1.5113948797461201e-10,-3.807190804204648e-21,-2.284314482522789e-21
1.5153510354132152e-10,-3.827147934213172e-21,-2.2962887605279036e-21
1.519317546526046e-10,-3.847209678636539e-21,-2.3083258071819236e-21
1.5232944401905301e-10,-3.8673765858589675e-21,-2.3204259515153808e-21
1.5272817435835565e-10,-3.8876492071393805e-21,-2.3325895242836286e-21
1.5312794839531246e-10,-3.9080280966262456e-21,-2.3448168579757474e-21
1.5352876886185822e-10,-3.9285138113729806e-21,-2.357108286823789e-21
1.5393063849707692e-10,-3.949106911352963e-21,-2.369464146811778e-21
1.5433356004722212e-10,-3.96980795947492e-21,-2.381884775684952e-21
1.5473753626573777e-10,-3.9906175215984185e-21,-2.394370512959051e-21
1.5514256991327326e-10,-4.011536166549146e-21,-2.406921699929488e-21
1.5554866375770406e-10,-4.032564466134546e-21,-2.419538679680728e-21
1.5595582057415262e-10,-4.0537029951595476e-21,-2.432221797095729e-21
1.5636404314500355e-10,-4.074952331442089e-21,-2.4449713988652535e-21
1.5677333425992446e-10,-4.096313055829001e-21,-2.4577878334974007e-21
1.5718369671588696e-10,-4.117785752211989e-21,-2.4706714513271933e-21
1.5759513331718138e-10,-4.139371007543361e-21,-2.483622604526017e-21
1.5800764687544094e-10,-4.16106941185234e-21,-2.4966416471114046e-21
1.5842124020965658e-10,-4.182881558260951e-21,-2.509728934956571e-21
1.5883591614619803e-10,-4.204808043000342e-21,-2.5228848258002057e-21
1.5925167751883518e-10,-4.226849465427179e-21,-2.536109679256308e-21
1.5966852716875352e-10,-4.2490064280398295e-21,-2.549403856823898e-21
1.6008646794457545e-10,-4.2712795364949306e-21,-2.5627677218969586e-21
1.605055027023818e-10,-4.2936693996240485e-21,-2.5762016397744293e-21
1.6092563430572733e-10,-4.3161766294501136e-21,-2.5897059776700687e-21
1.6134686562566234e-10,-4.338801841204256e-21,-2.603281104722554e-21
1.6176919954075421e-10,-4.361545653342725e-21,-2.6169273920056357e-21
